Miss Jerry| The adventures of a female reporter in the 1890s.;
Io... e il ciclone| The effete son of a cantankerous riverboat captain comes to join his fathers crew.;
Langelo della strada| A woman on the run from the law finds her past catching up to her just as she is on the verge of true happiness.;
Femmine del mare| Two sailors who are always competing against each other set their sights on the same girl. When she chooses one over the other, their friendship ends acrimoniously. However, things change ...;
Nella tempesta| In Czarist Russia, a peasant officer, resented by the aristocrats, falls in love with a princess.;
Quella certa cosa| Molly Kelly wants to marry a millionaire. When she runs into Andy Charles, heir to a restaurant fortune, she jumps at the chance and marries him. Andys father if furious and disinherits ...;
Tire au flanc| A rich poet and his servant both join the army and wind up in the same barracks.;
The Trail of 98| Fortune hunters from all over the country rush to the Klondike in 1897 to seek their fortunes in the gold are tested by hardships of the journey.;
Underground| A workingclass love story set in and around the London Underground of the 1920s. Two men  gentle Bill and brash Bert  meet and are attracted to the same woman on the same day at the same...;
I vichinghi| Vikings compete for power and the love of a woman.;
Nel gorgo del peccato| After a robbery, a happy bank clerk loses own identity and has been presumed dead.;
Il fiume stanco| A gangster is put in prison, but finds salvation through music while serving his time. Again on the outside, he finds success elusive and temptations abound.;
Sinfonia nuziale| A young impoverished aristocrat falls in love with an innkeepers daughter, but has to marry money.;
La serpe di Zanzibar| A magician seeks vengeance upon the man who paralyzed him and the illegitimate daughter he sired with the magicians wife.;
Mentre la citt dorme| A tough New York cop is determined to bring down a crook who has always managed to provide an alibi for the crimes hes been accused of, even though the detective knows hes guilty of committing them.;
Ombre bianche| An alcoholic doctor on a Polynesian island, disgusted by white exploitation of the natives, finds himself marooned on a pristinely beautiful island.;
Il vento| A frail young woman from the east moves in with her cousin in the west, where she causes tension within the family and is slowly driven mad.;
Il destino| When two childhood sweethearts are kept from marrying, misery ensues.;
Il cadavere vivente| Fjodor Protassow wants to divorce his wife, so that she can be happy with another man. But the church wont allow a divorce, so he fakes his own death, becoming a living corpse.;
Zvenigora| An old Ukrainian man protects and searches for a legendary treasure in the midst of political upheavals.;
La aldea maldita| In an impoverished Castilian village live Juan, his wife Acacia, their son and Juans blind father. The harsh weather conditions force the peasants to emigrate to a better land. Acacia goes...;
Alibi| Chick Williams, a prohibition gangster, rejoins his mob soon after being released from prison. When a policeman is murdered during a robbery, he falls under suspicion. The gangster took ...;
Applause| A burlesque star seeks to keep her conventraised daughter away from her lowdown life and abusive loverstage manager.;
Largent| The business tycoon Nicolas Saccard is nearly ruined by his rival Gunderman, when he tries to raise capital for his company. To push up the price of his stock, Saccard plans a publicity ...;
Arsenale| A soldier returns to Kiev after surviving a train crash and encounters clashes between nationalists and collectivists.;
Asfalto| Joe Mays sensual drama of life in the Berlin underworld is in many ways the perfect summation of German filmmaking in the silent era a dazzling visual style, a psychological approach to ...;
Atlantic| On its maiden voyage in April 1912, the supposedly unsinkable RMS Titanic hits an iceberg in the Atlantic Ocean.;
Behind That Curtain| Eve Mannering realizes too late that her abusive husband is a philanderer and murderer and seeks protection with her true love, explorer John Beetham.;
Big News| A reporters marriage is jeopardized by his drinking and he finds himself accused of a murder he didnt commit.;
La guardia nera| Captain Donald King of the British Army goes to India just as World War I breaks out, convincing his comrades that he is a coward. In reality, he is on a secret mission to rescue British ...;
Ricatto| After killing a man in selfdefense, a young woman is blackmailed by a witness to the killing.;
Broadway| A naive young dancer in a Broadway show innocently gets involved in backstage bootlegging and murder.;
Ragazze dAmerica| A Chorus girl who is in love with her stage manager is led to believe that he is in love with another young woman, so, she agrees to marry a bootlegger instead.;
La canzone di Broadway| A pair of sisters from the vaudeville circuit try to make it big time on Broadway, but matters of the heart complicate the attempt.;
Cercasi avventura| A bored WWI veteran helps out a young woman, whose uncle is being held hostage by embezzlers.;
La Canarina Assassinata| A beautiful showgirl, nicknamed the Canary, is a scheming nightclub singer. Blackmailing is her game and soon ends up dead. But who killed the Canary. All the suspects who knew her had ...;
Le capitaine Fracasse| Capt. Fracasse, a downonhisluck nobleman, gives shelter at his estate one night to a troupe of traveling actors. He falls in love with Isabelle, an actress with the group. The next day, ...;
The Cocoanuts| During the Florida land boom,;
Lisola del diavolo| Suave thief Colman is sent to Devils Island, where he becomes romantically involved with the wife of sadistic warden Digges.;
Coquette| A flirtatious Southern belle is compromised with one of her suitors.;
Daigaku wa detakeredo| Feeling the position to be beneath him, a college graduate turns down a receptionist job, but soon finds it necessary to fool his mother and fianc into thinking that he is employed.;
La danza della vita| A vaudeville comic and a pretty young dancer arent having much luck in their separate careers, so they decide to combine their acts and in order to save money on the road, they get married.;
Funamboli| A young bareback rider in a circus is in love with a trapeze artist, but he has two problems he drinks too much and hes fallen under the spell of a vamp whos nothing but trouble for him.;
Notti nel deserto| A con man and his beautiful accomplice kidnap a manager and steal 500,000 worth of diamonds, but end up stranded in the desert without water.;
Il tenente di Napoleone| A Bonapartist falls for a Royalist.;
Disraeli| Prime Minister of Great Britain Benjamin Disraeli outwits the subterfuge of the Russians and chicanery at home in order to secure the purchase of the Suez Canal.;
Trafalgar| The story of the romance between Emma, Lady Hamilton, and British war hero Admiral Horatio Nelson.;
The Duke Steps Out| Millionaires son Duke wants to be a champion boxer but takes time out to enroll in college when he sees coed Susie. The students wonder about his having a chauffeur and house full of ...;
Dinamite| Wealthy Cynthia is in love with notsowealthy Roger, who is married to Marcia. The threesome is terribly modern about the situation, and Marcia will gladly divorce Roger if Cynthia agrees ...;
Erotikon| A young woman is seduced and abandoned by a man who was invited to stay at his home by her father in a stormy night. Noticing that she is pregnant, the girl decides to leave home and start a new life.;
La valanga| In the Swiss Alps of the early 19th century, a couple forced into loveless marriages struggle to find happiness with one another.;
Evangelina| In Acadia, now part of the Canadian province of Nova Scotia, young Evangeline is betrothed to Gabriel. But before their wedding can take place, the British imprison the men and send them ...;
Diavoli volanti| A Marine flyer and his flight school mentor fall for the same beautiful nurse.;
La flotta del cielo| The story follows six midshipman after they graduate from Annapolis. Their goal is to become U.S. Navy pilots and three of them are eliminated at the San Diego Naval Base. The remaining ...;
The Flying Scotsman| A young fireman on the Flying Scotsman train falls in love with the beautiful daughter of the driver who is about to retire. The young fireman has replaced another named Crow who was sacked...;
Una donna nella luna| A tenacious scientist blasts off for the moon in hopes of riches that may be found there.;
Frulein Else| A young woman reluctantly decides to compromise her values in order to save her family from bankruptcy and disgrace.;
The Girl in the Show|  NA;
Glorifying the American Girl| The rise of a showgirl, Gloria Hughes, culminating in a Ziegfeld extravaganza Glorifying the American Girl.;
Donna pagana| Two teenagers, one an atheist and the other a Christian, fall in love at a brutal reform school.;
Gold Diggers of Broadway| Three Broadway chorus girls seek rich husbands.;
Goluboy ekspress| In a train where social classes are strictly separated wealthy in the front, poor in the back, a revolt erupts.;
Il bandito e la signorina| Steven Ghent has decided to sell the mine hes owned for fifteen years, located at the border of Mexico where the Great Divide ends. When the representatives are delayed for a few days, he ...;
Il gran Gabbo| An insanely, egocentric ventriloquist, even though he is possessed by his wooden dummy, is in love with a dancer who is in love with another. The dummy gives advice to the ventriloquist.;
The Greene Murder Case| At the end of each year, the extremely wealthy but odious Greene family gets together at the spooky old family castle to establish terms of a will, though they despise each other. This year...;
Half Marriage| A young couple marries in secret. Judys afraid her parents wont approve of Dick and shell lose her generous allowance. Her parents bring her home from the city where shes been studying ...;
Alleluja| A sharecropper decides to become a preacher after falling for a vamp from the city.;
Gli eroi del deserto| When three men rob a bank, a guard is killed and the three bandits escape into the desert where they lose their horses in a storm. Finding a woman who gives birth, they are made godfathers ...;
Her Private Affair| Her Private Affair is a 1929 drama film directed by Paul L. Stein and starring Ann Harding. It was produced and distributed by the Path Exchange company. It is a sound film using the RCA Photophone soundonfilm sound system.;
High Voltage| A busload of passengers gets stranded in a snowstorm and take refuge in an abandoned church, where they run into a mysterious man who may be on the run from the law.;
The Hole in the Wall| Mrs. Ramsey sent Jean Oliver to prison on a false charge. To get even, Jean disguised as Madame Mystera plans to kidnap her daughter and turn her into a thief. Love entanglements with a ...;
Hollywood che canta| An allstar revue featuring MGM contract players.;
Sette passi verso Satana| A young man of society wants to make an expedition to Africa, but his fiance asks him for help about one of her fathers guests shortly before his planed departure. Her suspects about that ...;
Il bacillo dellamore| Laurence Gerard has just divorced. While leading fat lover Talandier by the nose, She meets the count Lerski, who now works as waiter but do not tell her. When she hears from her husband he...;
The Idle Rich| Millionaire William van Luyn falls in love with his secretary Joan Thayer and marries her. Her family, part of the great middle class as blowhard nephew Henry keeps reminding us, is ...;
Notte di tradimento| A charming, happygolucky bandit in old Arizona plays catandmouse with the sheriff trying to catch him while he romances a local beauty.;
The Informer| In Ireland, an IRA man betrays a killer to the police, thinking he is his mistresss lover.;
La maschera di ferro| King Louis XIII of France is thrilled to have born to him a son  an heir to the throne. But when the queen delivers a twin, Cardinal Richelieu sees the second son as a potential for ...;
La romanza dellamore| Casey and Babe are sisters who work in a department store and each year the store puts on a show. As expected, things are going wrong with every act until Casey comes out to help Babe with ...;
Il bacio| An unhappily married woman is caught up in scandal and murder when her affection toward a young man is misinterpreted.;
Laila, la figlia del nord| A spirited Norwegian Lass is torn between two suitors and two cultures.;
Erik il grande| A middleaged magician is in love with his beautiful young assistant. She, on the other hand, is in love with the magicians young protege, who turns out to be a bum and a thief.;
The Last Warning| A producer decides to reopen a theater, that had been closed five years previously when one of the actors was murdered during a performance, by staging a production of the same play with ...;
Lonest della signora Cheyney| There is a big charity function at the house of Mrs. Cheyney and a lot of society is present. With her rich husband, deceased, rich old Lord Elton and playboy Lord Arthur Dilling are both ...;
The Letter| Jeanne Eagels plays the bored and restless Leslie Crosbie who turns to another man, Geoffrey Hammond Herbert Marshall for attention when neglected by her husband Robert Reginald Owen. ...;
Linda| Circumstances force a young woman to marry a much older man, although she really loves a young doctor.;
La porta chiusa| On her first anniversary Ann Reagan finds that her sisterinlaw is involved with a shady character from her own past, and determines to intervene.;
Il principe consorte| The queen of mythical Sylvania marries a courtier, who finds his new life unsatisfying.;
Trappola damore| A chorus girl loses her job and thus the room she owes back rent on, and ends up being rescued from the street by a dashing rich man. But his family isnt overaccepting of chorus girls joining their family.;
La stella della fortuna| Mary, a poor farm girl, meets Tim just as word comes that war has been declared. Tim enlists in the army and goes to the battlefields of Europe, where he is wounded and loses the use of his...;
Madame X| A young lawyer unknowingly defends his mother who abandoned him when he was three.;
Lisola del peccato| A fisherman and a rising young lawyer, who grew up as brothers, fall in love with the same girl.;
La compagnia dassalto| During World War I, a young French woman struggles to choose between two suitors a blind soldier to whom she is engaged and an American serviceman.;
Marianne|  NA;
Uomini di domenica| Two men and two women enjoy a pleasant Sunday at the beach amid the unending toil of the working week.;
Rosa del Messico| A drama set in a border town gambling saloon. The owner falls in love with a promiscuous young girl. When she has an affair with another, he tosses her out of town. She gets revenge by marrying his younger brother.;
Il conte di Montecristo| After greedy men have Edmound Dantes unjustly imprisoned for 20 years for innocently delivering a letter entrusted to him, he escapes to get his revenge on them;
Il viaggio di mamma Krausens verso la felicit| Mutter Krause and her children live in the poorer section of Berlins Wedding district. The film depicts the cruelty of poverty and communism as a rescuing force that reaches Mutter Krause and the child too late.;
Il drago rosso| During the Boxer Rebellion in China during the early 20th century, in which a Chinese secret society attacked all westerners and anyone who associated with them, Dr. Fu Manchus wife and ...;
Lisola misteriosa| On a volcanic island near the kingdom of Hetvia rules Count Dakkar, a benevolent leader and scientist who has eliminated class distinction among the islands inhabitants. Dakkar, his ...;
Navy Blues| On shore leave, a young sailor meets and falls in love with a pretty young blonde. He goes home with her to meet her parents, but they dont approve of him at all. Their daughter takes ...;
Notti di New York| A chorus girl with marital woes is pursued by a gangster.;
Larca di No| The Biblical story of Noah and the Great Flood, with a parallel story of soldiers in the First World War.;
Les nouveaux messieurs| A theater electricians love to a ballet dancer is tested when he is elected minister.;
La nuova Babilonia| In the beginning of the industrial revolution, the Paris Commune was established in 1871 against the rich and the powerful, and violently repressed by the army that remained faithful to a ...;
Oblomok imperii| A story of a man who loses his memory during the First World War, regains it 10 years after the Russian Revolution and returns home to a new and alien St. Petersburg.;
On with the Show| A musical advertised as the first 100 natural color, allsinging production. The plot concerns a wideeyed former hatcheck girl who takes the place of a rebellious star.;
Ragazze americane| A flapper charms a diplomat to procure her fianc a career opportunity, while the fianc starts a relationship with her best friend.;
Lisola del sole| A carefree South Seas native falls for the halfcaste ward of a religious white man who desires her for himself.;
Piccadilly| A young Chinese woman, working in the kitchen at a London dance club, is given the chance to become the clubs main act which soon leads to a plot of betrayal, forbidden love and murder.;
Prapancha Pash| Two neighboring Indian kingdoms are ruled by cousins  King Ranjit and King Sohat. Unbeknownst to Ranjit, Sohat is plotting to seize control of his kingdom.;
Prividenie, kotoroe ne vozvrashchaetsya| The Ghost That Never Returns is an outstanding Soviet film by Abram Room, the director of Bed and Sofa 1927. Released to little notice in 1930, it joins other very late silents to show ...;
La regina Kelly| A convent girl is abducted and seduced by a prince before being sent off to a brothel in East Africa.;
The Racketeer| A dapper gangster sponsors an alcoholic violinist in order to win the love of a glamorous divorced socialite.;
Redskin|  NA;
Rio Rita| Capt. James Stewart pursues the bandit The Kinkajou over the Mexican border and falls in love with Rita. He suspects, that her brother is the bandit.;
Il fiume| A nave young man is working on a logging camp beside a turbulent river. When it closes for winter, he opts to stay for the experience. He meets a woman who was the girlfriend to the boss ...;
Arcobaleno| The roadshow troupe of a top Broadway show go crosscountry while taking the audience along on the onstage scenes as well as what happens and is happening back stage of the production. ...;
Rotaie|  NA;
Sally| Sally was an orphan who got her name from the telephone exchange where she was abandoned as a baby. In the orphanage, she discovered the joy of dancing and has been practicing since. ...;
Saluto militare| West Point Cadet John and Annapolis Midshipman Frank focus their fraternal rivalry on the big ArmyNavy football game.;
Lui, lei, laltra| Mayme and sister Janie are salesgirls in Ginsbergs Department Store. Mayme is in love with store clerk Bill, but Janie tries to steal him from her. Hazel, another salesgirl, is Jean Harlows first credited role.;
Seven Keys to Baldpate| A writer, looking for some peace and quiet in order to finish a novel, takes a room at the Baldpate Inn. Peace and quiet are last things he gets, though, as there are some very strange things going on at the establishment.;
Clem, bizzarro monello| Dave Roberts is a professional boxer better at losing in fixed matches than in knocking out his opponents. He turns up in towns and is part of a group who sets up corrupt boxing matches. ...;
Show Boat| A mostly silent version of Edna Ferbers original novel, with some songs from the musical as a lastminute addition;
Rivista delle nazioni| Its 1929. The studio gave the cinema its voice and offered the audiences a chance to see their favorite actors and actresses from the silent screen era. For the first time, they can be ...;
The Silent Enemy| A documentary about the life of Indians in Northern Canada.;
Donna che ama| The wealthy Arden Stuart is bored in a party after refusing the wedding proposal of Tommy Hewlett, she drives her car with her driver to a lonely place. She has one night stand with him ...;
Fatemi la corte| Biff and Eddie are the best of friends. They are college seniors, roommates at the fraternity, and star teammates on the USC football team. Then a flapper named Babs enters the picture. ...;
Der Sonderling|  NA;
Cuori e motori| Bill Whipple is a happygolucky mechanic for MacDonald who thinks that he is the worlds greatest driver and lover. Mac has treated Bill like a son since he took him in. One day at the ...;
Io... e lamore| An unimpressive but well intending man is given the chance to marry a popular actress, of whom he has been a hopeless fan. But what he doesnt realize is that he is being used to make the actress old flame jealous.;
The Squall| The activities of Nubi Myrna Loy, a minxlike, Hungarian gypsy girl who, while on the run from her abusive husband, takes shelter in a farmhouse, where she seduces and holds in thrall all the male members of the family.;
Il vecchio e il nuovo| 100.000.000 peasants  illiterate, poor, hungry. There comes a day when one woman decides that she can live old life no longer. Using ways of new Soviet state and industrial progress she changes life and labor of her village.;
La ragazza del bacio| A homeless and destitute violinist joins a combo to bring it success, but has problems with her love life.;
The Studio Murder Mystery| Philandering actor Richard Hardell is murdered at a movie studio. His jealous wife Blanche, his director Rupert Borka, and a girl he mistreated, Helen MacDonald, all have substantial ...;
Il sorriso della vita| Molly and Bee, sweet young working girls, live in a cheap room over a New York grocery store. Mollys idol, wealthy Jack Cromwell, lives in a Long Island mansion but is markedly less ...;
Il diario di una donna perduta| After falling pregnant to a pharmacist and refusing to marry, a young woman is thrown from her home and sent to a strict girls reform school.;
La bisbetica domata| In sixteenth century Padua, Hortensio loves Bianca, the youngest daughter of Baptista. But Baptista will not allow the two to get married until his eldest daughter, the extremely headstrong...;
Tanned Legs| Peggy and Bill are high society lovebirds, but their marriage plans are put on hold while Peggy spends most of her summer straightening out her wayward parents and her unluckyinlove ...;
Ritorna il sole| Lally is a rich girl whose father writes books and plays Polo. After 23 years of marriage, he decides to divorce his wife, and marry Mrs. Chevers. This sours Lally on all men, while on ...;
They Had to See Paris| Oklahoma mechanic Pike Peters finds himself part owner of an oil field. His wife Idy, hitherto content, decides the family must go to Paris to get culture and meet the right kind of ...;
The Thirteenth Chair| Although his murdered friend was by all accounts a scoundrel a true bounder Edward Wales is determined to trap his killer by staging a seance using a famous medium. Many of the 13 seance ...;
La mazzata| A criminal known as Thunderbolt is imprisoned and facing execution. Into the next cell is placed Bob Moran, an innocent man who has been framed and who is in love with Thunderbolts girl. ...;
Londata dei forti| Californias gold dicovery in 1848 draws a tide of empire to the area, which becomes ripe for bandits.;
Tky kshinkyoku| A classic melodramatic love tragedy addressing social inequality in feudal Japan, depicted in Kenji Mizoguchis typical style. The nostalgic scenes of 1920s Tokyo provides a valuable visual...;
Lintrusa| The trial and tribulations of a strongwilled woman who elopes and gives birth out of wedlock without telling her exhusband.;
The Trial of Mary Dugan| Mary Dugan, a Broadway showgirl, is charged with murder in the knifing death of her wealthy lover, and goes on trial for her life. When her defense counsel appears to bungle his job, Marys...;
Lo spettro verde| On a dark foggy London night, someone tries to strangle Lord Montague, but he escapes. Only to discover the four other men who did get killed were old regimental comrades in Gallipoli. When...;
Lindomabile| When her rich oilman father is killed, Bingo, raised in the wilds of South America, inherits the company. Her guardians Ben and Howard send her to New York for civilizing but on the way she...;
The Vagabond Lover| A zany musical about an amateur musician in search of work who impersonates a big band leader.;
The Valiant| After killing an unknown man for an unknown reason, a mysterious drifter turns himself to the law, under a false name intending to protect his own familys honor. But when the news of his ...;
Verdun, visions dhistoire| Dramatic reenactment of the battle of Verdun during World War I, as seen by both French and German sides.;
Luomo della Virginia| A goodnatured cowboy who is romancing the new schoolmarm has a crisis of conscience when he discovers his best friend is engaged in cattle rustling.;
Giorni di giovent| Two friends try and court the same woman.;
La tragedia di Pizzo Pal| A man climbs a 12,000foot mountain to search for his wife, who was lost on their honeymoon. Another couple makes the dangerous climb with him.;
Evviva il pericolo| Harold Bledsoe, a botany student, is called back home to San Francisco, where his late father had been police chief, to help investigate a crime wave in Chinatown.;
Vendetta doriente| When an animal trapper in IndoChina finds that his daughters fianc is being successfully seduced by her estranged mother, he takes appropriate action.;
Why Be Good| A flapper with a dubious reputation enjoys a vivacious night of dancing and finds herself romantically linked to her boss.;
Orchidea selvaggia| A prince in Java tries to seduce his visitors wife, but hes discovered.;
Lallegra brigata| Wild girls at a college pay more attention to parties than their classes. But when one party girl, Stella Ames, goes too far at a local bar and gets in trouble, her professor has to rescue ...;
Nina Petrowna| Nina Petrovna, the mistress of a wealthy Cossack, falls in love with a young cadet. Their happiness is shortlived.;
La nuova generazione| Soapopera about a socialclimbing Jewish man and his oldworld parents who are heartbroken by his rejection of them.;
Il cavaliere della libert| An episodic biography of the 16th President of the United States.;
Allovest niente di nuovo| A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.;
Animal Crackers| Mayhem and zaniness ensue when a valuable painting goes missing during a party in honor of famed African explorer Captain Spaulding.;
Anna Christie| A young woman reunites with her estranged father and falls in love with a sailor, but struggles to tell them about her dark past.;
Anna Christie| A young woman reunites with her estranged father and falls in love with a sailor, but struggles to tell them about her dark past.;
Il tempio delle tentazioni| Denise, an orphaned girl, moves to Paris where she hopes to find work at her uncles store. But the glamorous department store Aux Bonheur des Dames across the street crunches all the little businesses around. She finds a position there.;
Back Pay| Hester is bored with Gerald who loves her  bored with the Finley Department store  and bored with Demopolis. She leaves town with a traveling salesman named Bloom and the clothes on her ...;
The Bat Whispers| A master criminal terrorizes the occupants of an isolated country mansion.;
Be Yourself| Ethnic comedy of a nightclub entertainer trying to train a boxer.;
Beau Ideal| An American joins the French Foreign Legion in order to rescue a boyhood friend.;
The Benson Murder Case| A ruthless, crooked stockbroker is murdered at his luxurious country estate, and detective Philo Vance just happens to be there he decides to find out who killed him.;
Carcere| A convict falls in love with his new cellmates sister, only to become embroiled in a planned breakout which is certain to have lethal consequences.;
La conquista dellAmerica| A tour guide in Venice romances a visiting American tourist whose father owns a chewinggum factory back in the U.S. She sets out to convince her skeptical father to bring the tour guide to America and give him a job in the plant.;
Il grande sentiero| Breck Coleman leads hundreds of settlers in covered wagons from the Mississippi River to their destiny out West.;
Billy the Kid| In this version of the Billy the Kid legend, Billy, after shooting down land baron William Donovans henchmen for killing Billys boss, is hunted down and captured by his friend, Sheriff ...;
The Bishop Murder Case| When the body of a man nicknamed Cock Robin is found with an arrow in the heart on an archery range along with a chess bishop as a clue, Philo Vance investigates.;
Langelo azzurro| An elderly professors ordered life spins dangerously out of control when he falls for a nightclub singer.;
Borderline| A negro woman having an adulterous affair with a white man causes his wife to go mad and reenforces the townsfolks prejudice against Negroes.;
Temerario nato| Hoping to use the publicity to get reelected, a judge sentences a notorious gangster to fight in the war.;
Bright Lights| A successful Broadway star ready to retire from her wild career announces her engagement. But her tumultuous past isnt done with her yet.;
La sivigliana| From a poor working class background, Juan de Dios is a cantina performer in Seville, singing and dancing with his partner Lola. They have a contentious professional and personal ...;
Captain Thunder| Victor Varconi plays a charming Mexican bandit gets involved in several conflicting paradoxical relations, including an alliance with a crooked rival bandit and a beautiful daughter of the governor.;
Charleys Aunt| Charley Wyckham and Jack Chesney pressure fellow student Fancourt Babberly to pose as Charleys Brazilian Aunt Donna Lucia. Their purpose is to have a chaperone for their amorous visits ...;
Check and Double Check| Typical Amos n Andy storyline has the boys trying to make a go of their openair taxi business while they get caught up in a society hassle, involving driving musicians to a fancy party....;
Children of Pleasure| Successful songwriter falls for society girl who is just playing around. He doesnt realize that his girlFriday is the one he really loves until it is almost too late. Although he is ...;
Il nostro pane quotidiano| A Chicago waitress falls in love with a Minnesota farmer, and decides to face a life in the country.;
Conspiracy| For the last four years Margaret Holt has been helping her brother, assistant D.A. Victor Holt, to try to bring down the dope dealing Schemer Marko gang. Margaret kills Marko aka James ...;
A Cottage on Dartmoor| A former barber escapes from a high security prison. Flashback story of an escape from the lonely, highsecurity Dartmoor Prison.;
The Cuckoos| Two phony fortune tellers get mixed up with gypsies.;
Nella morsa delle rotaie| The tough boss of a railroad yard befriends a young hobo, and unwittingly places in jeopardy his relationship with the woman he loves.;
La beffa della vita| David is a poor but ambitious Polish Jew who reinvents himself as a powerful New York business magnate. After gaining wealth, he relocates to Paris, only to have his selfish and demanding wife squander his fortune.;
La squadriglia dellaurora| World War I ace Dick Courtney derides the leadership of his superior officer, but Courtney is soon promoted to squadron commander and learns harsh lessons about sending subordinates to their deaths.;
The Devil to Pay| Spendthrift Willie Leyland again returns to the family home in London penniless. His father is none too pleased but Willie smoothtalks him into letting him stay. At the same time he turns ...;
The Devils Holiday| A savvy city girl is hired to sugar an earnest farm boy into a business deal, but loses her heart.;
La divorziata| When a woman discovers that her husband has been unfaithful to her, she decides to respond to his infidelities in kind.;
Dixiana| In antebellum New Orleans, two men vie for the affections of a beautiful young girl during Mardi Gras.;
The Doorway to Hell| Despite his efforts to go straight, a young gangster keeps falling back into crime.;
Il guerriero| A naive and wealthy young man seeks to impress a girl and then unwittingly signs up for army service.;
La sirenetta dellautostrada| Willy, Kurt and Hans are broke, so they sell their car and open a filling station. Then they all fall in love with the same girl.;
Parla elstree| A series of nineteen musical and comedy vaudeville sketches presented in the form of a live broadcast hosted by Tommy Handley as himself. There are two running gags which connect the ...;
Extravagance| Alice Kendall is the darling of her social set, the sons and daughters of millionaires, although Alices mother has impoverished herself to provide Alice with the luxuries she expects as ...;
The Fall Guy| When a hapless pharmacist loses his job and falls in with criminals, hes soon made The Fall Guy. Unemployed, Johnny Quinlan Jack Mulhall starts doing jobs for underworld chieftain Nifty ...;
Fast and Loose| A wealthy family is thrown into turmoil when the daughter falls for the family chauffeur and the son begins to keep company with a chorus girl.;
The Menace| Ronald Quayle escapes from prison. He was sent there for murdering his father, based on the testimony of his stepmother, Caroline. An explosion disfigures him, but plastic surgery gives him...;
Piano coi piedi| An ambitious shoe salesman unknowingly meets his boss daughter and tells her he is a leather tycoon, then has to try to hide his true circumstances.;
The Flirting Widow| Phyllis wants to marry Bobby, but Father wont permit it until older sister Celia weds. So Celia invents a military fiance in Arabia, unimaginatively christens him John Smith, writes him a...;
Ragazze e giovanotti del 1890| The married friends of a New York chorus girl encourage her to pursue a handsome but poor socialite.;
Follow Thru| Lora Moore, the club champion, loses a golf match to a woman from another golf club. Then Jerry Downs, a handsome golf pro, and his goofy friend, Jack Martin, show up. Lora takes him on as ...;
For the Defense| William Powell plays William Foster, a slick attorney who stays within the law, but specializes in representing crooks and shady characters. Hes adept at keeping them out of jail, winning ...;
Framed| Woman swears revenge against an Inspector who was responsible for her fathers death.;
Chi non cerca... trova| A bumbling manager tries to get a small town beauty contest winner into the movies.;
Come rubai mia moglie| A brash, pushy young man gets a job in a bank and sets his cap for his bosss secretary, but the death of his father makes him reassess his priorities.;
Going Wild| Rollo and Lane just happen to be tossed off the train at White Beach where Robert Story Air ace and writer is supposed to stop. It is a case of mistaken identity as no one knows what ...;
Golden Dawn|  NA;
Good News| Tom Marlowe is the star of his college football team, and has a promising romance with a female college student, Connie Lane. He does not excel, however, in his college studies. A series of...;
La dea verde| An airplane carrying three BritsMajor Crespin, his wife Lucille, and Dr. Traherncrash lands in the kingdom of Rukh. The Rajah holds them prisoner because the British are about to ...;
Half Shot at Sunrise| The stage stars Wheeler and Woolsey play two soldiers who go absent without leave in Paris, during World War I.;
Giorni felici| Margie, singer on a showboat, decides to try her luck in New York inspite of being in love with the owners grandson. She is successful, but suddenly she hears that the showboat is in deep ...;
Il porto dellinferno| Lovely Anita dreams of escaping the monotony of her island home and sailing to bustling Havana. But when her abusive father promises her to the greasy local merchant, Anita does everything in her power to make her dream a reality.;
Gli angeli dellinferno| Brothers Monte and Ray leave Oxford to join the Royal Flying Corps. Ray loves Helen Helen enjoys an affair with Monte before they leave on their mission over Germany they find her in still another mans arms.;
La stella della Taverna Nera| Havana bar girl with tough protector falls for young sailor.;
Passeggiate allegramente| A smalltime hood wants to go straight for a good girl but finds that starting over isnt as simple as it sounds.;
Holiday| Holiday is a 1930 American PreCode romantic comedy film which tells the story of a young man who is torn between his freethinking lifestyle and the tradition of his wealthy fiances family.;
Hook Line and Sinker| Two fasttalking insurance salesmen meet Mary, who is running away from her wealthy mother, and they agree to help her run a hotel that she owns. When they find out that the hotel is run ...;
Inside the Lines| During World War 1, German spies will stop at nothing to spy on the allied war plans stored at Gibraltar.;
Journeys End| In France, 1917, an alcoholic captain is afraid that his new replacement, his sweethearts brother, will betray his downfall.;
I prodigi del 2000| New York, 1980 airplanes have replaced cars, numbers have replaced names, pills have replaced food, governmentarranged marriages have replaced love, and test tube babies have replaced ......;
Il re del jazz| American PreCode color film starring Paul Whiteman and his Jazz orchestra.;
Femmine di lusso| An uppercrust artist hires a party girl as a model romance follows.;
The Lady of Scandal| A famous British actress gets involved with two members of a reserved British noble family, whose plan to get rid of her backfires.;
Notte di peccato| Middleaged Napa Valley grapegrower Tony posts a marriage proposal to San Francisco waitress Lena enclosing a photo of his handsome younger brother Buck. When she gets there she overlooks ...;
La sferzata| Don Francisco Delfina, a nobleman of Southern California in 1848, disguises himself as El Puma and leads a revolt against the tyrannical land agent and politician Peter Harkness.;
Laughter| A former chorus girl weds a millionaire after the composer she loves leaves. Meanwhile, she strings along an artist in love with her. When the composer returns, she struggles with her needs for security vs love. High jinks and drama ensue.;
