Miss Jerry| The adventures of a female reporter in the 1890s.;
Heart o the Hills| Family tensions in the Kentucky hills are inflamed by an outsiders dishonest scheme to exploit the area for its coal.;
Il tesoro di Arne| Three Scottish officers, including Sir Archi, murder Sir Arne and his household for a coffin filled with silver coins. The only survivor is Elsalill, who moves to relatives in Marstrand. ...;
The Hoodlum| A spoiled young rich girl is forced by misfortune to fight for survival in the slums and alleys, where she becomes involved with all manner of unpleasantness.;
Non vorrei essere un uomo| A teenaged tomboy, tired of being bossed around by her strict guardian, impersonates a man so she can have more fun, but discovers that being the opposite sex isnt as easy as she had hoped.;
Ingmarssnerna| LillIngmar is having a troublesome love life with his bride to be Brita.;
Per la patria| The story of two men, one married, the other the lover of the others wife, who meet in the trenches of the First World War, and how their tale becomes a microcosm for the horrors of war.;
Il gabinetto del dottor Caligari| Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.;
Male and Female| Lady Mary Lasenby is a spoiled maiden who always gets her way until shipwrecked with her butler, then learns which qualities are really admirable in a person.;
Meyer il berlinese| A bumbling, selfindulgent husband goes on a vacation away from his wife. There he meets a popular, attractive young woman also on a vacation. Both go on a mountain climb which is going to be far from an ideal adventure.;
The Miracle Man| A gang of crooks evade the police by moving their operations to a small town. There the gangs leader encounters a faith healer and uses him to scam gullible public of funds for a supposed ...;
The Mother and the Law| A reedited version of the modern story from;
Die Pest in Florenz| Suddenly appearing in Florence, an evil seductress causes Cesare, the citys ruler, and his son to both fall madly in love with her. The son, killing his father before an order to torture ...;
Prsidenten| The judge in a Danish town sees his illegitimate daughter facing a trial for the murder of her newborn child, and is rather sure that she will be sentenced to death. She became pregnant ...;
La bambola di carne| Forced into marriage by his uncle, a man decides to fool him by marrying a lifelike mechanical doll instead.;
The Roaring Road| A young man pursues a young lady with the same energy he applies to his other obsession in life, auto racing.;
Scarlet Days| A romantic bandit named Alvarez, wanted for raids on the mining camps of the California gold rush in 1849, is reformed by the love of a good woman.;
The Sentimental Bloke| A downatheal exconvict undergoes an epiphany as he experiences the love of a good woman for the first time.;
Il lago doro, ovvero I ragni| Kay Hoog finds a message that indicates that some Incas are still alive, but the secret organisation Die Spinnen wants the Incas gold....;
Il canto del fiore rosso| Olof Koskela is the son of a rich farmer. He seduces young girls at random, until an inconsistent gesture rushes him away from home and his carefree lifestyle. Based on the 1905 novel by Finnish author Johannes Linnankoski.;
Amore sulle labbra| Susie, a plain young country girl, secretly loves a neighbor boy, William. She believes in him and sacrifices much of her own happiness to promote his own ambitions, all without his ...;
Un affare misterioso| A demon, a reaper, and the ghost of a prostitute read gothic short stories and act them out.;
Victory| Axel Heyst, an uncommitted wanderer, has settled on an island in the South Seas. He takes pity on a troubled young woman, Lena, and gives her refuge on her island. But the piratical Mr. ...;
Wagon Tracks| Buckskin Hamilton guides a wagon train across the wasteland, caring well for the pioneers he escorts, but hoping to solve the murder of his brother by one of the travellers.;
Quando le nuvole volano via| Psychiatrist Dr. Ulrich Metz attempts to drive Daniel Brown to suicide.;
The Wicked Darling| A slum girl is forced to steal for a living. After she swipes a rich societys matrons necklace, she hides out at the home of a man who turns out to be the socialites former fiance.;
Yankee Doodle in Berlin| Behind enemy lines, Captain Bob White disguises himself as a woman in order to fool members of the German High Command, including the Kaiser himself.;
Algol  Tragdie der Macht| An alien from the planet Algol gives a man a device that gives him superpowers.;
Anna Bolena| The story of the illfated second wife of the English king Henry VIII, whose marriage to the Henry led to momentous political and religious turmoil in England.;
April Folly| April Folly is a 1920 American silent drama film directed by Robert Z. Leonard and written by Adrian Johnson and Cynthia Stockley. The film stars Marion Davies, Madeline Marshall, Hattie ...;
Latlantide| Two men, lost in the desert, meet Queen Antinea, ruler of Atlantis.;
Pagine dal libro di Satana| In 4 episodic tales of human suffering the temptation of Jesus, the Spanish Inquisition, the French Revolution and the RussoFinnish war of 1918, Satan attempts to win Gods favor.;
Dr. Jekyll e Mr. Hyde| Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.;
Erotikon| EROTIKON surely pushed the boundaries of what was acceptable on the screen in 1920 Irene, the bored wife of a distracted entomologist, pursues a womanizing aviator, but she may actually be...;
FanteAnne| The story of an orphaned girl brought up by the Storlein family. Young Anne Asta Nielsen is brought as an infant to the Storlein farm by her mother, who has been traveling and is in need ...;
The Flapper| Ginger grows up in a slow town. Because of her wild attitude, her father decides to send her to a strict boarding school. Despite the strictness, the girls have fun getting into flapper lifestyle trouble including flirting.;
Il cammino nella notte| Dr Eigil Borne is engaged to Hlne, a girl who is madly in love with him. At Hlnes birthday celebration, Eigil invites her to a cabaret, where he meets his other love, Lily, a passionate, fiery and funny dancer.;
Genuine| Extremely rare work of Robert Wiene. From the director and year of excellent The Cabinet of Dr. Caligari this work was eventually overshadowed by the success of Caligari. It has a dreamy atmosphere, like another world or something.;
Il Golem  Come venne al mondo| In 16thcentury Prague, a rabbi creates the Golem  a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution.;
Headin Home| The true story of baseball great Babe Ruth Ruth plays himself.;
LHirondelle et la Msange| A bargeman, his wife and sisterinlaw navigate the canals of northern Belgium in their two vessels, the eponymous LHirondelle et la Msange, taking the time to appreciate the sites and ...;
La giustizia del mare| Nolff, a tough Breton fisherman is happy his wife has just given birth to a son, Michel. His only wish is to make him a fisherman like him. But when he becomes a man, Michel becomes a ...;
Humoresque| Young Leon Kanter dreams of being a great violinist. His parents scrape up the money for a violin and for lessons, and Leon rewards them by becoming a great player. But as an adult, Leon ...;
Luomo dal coltello a serramanico| A lonely old riverboat man is left a child by a dying mother. The old man and the boy grow to love one another. The village snoop feels the child would be better off in an orphanage and the...;
Just Pals| Smalltown tramp befriends runaway boy.;
Der Klosterjger| A hunter provides meat for a monastery in the mountains and finds romance as well.;
Klostret i Sendomir| Two weary travelers come upon a monastery. While staying the night, they learn of its mysterious founding.;
Due sorelle| Somewhere in Southern Bavaria Xaver wants to marry Gretel, but her father Kohlhiesel wants his elder daughter Liesel to marry first. The problem is, nobody wants to marry her, because shes...;
The Last of the Mohicans| As Alice and Cora Munro attempt to find their father, a British officer in the French and Indian War, they are set upon by French soldiers and their cohorts, Huron tribesmen led by the evil...;
The Love Expert| A selfappointed love expert tries to play cupid with uneven results.;
The Love Flower| A man murders his wifes lovers, escapes with his daughter to the South Pacific. A detective pursues him, joined by a young man who eventually falls in love with the daughter.;
Il segno di Zorro| A seemingly idiotic fop is really the courageous vigilante Zorro, who seeks to protect the oppressed.;
Markens grde| After the Nobel prize winning Knut Hamsunnovel, with its criticism of industrialization, urbanizing and loss of values. The farmer Isak makes a farm out of barren soil, together with Inger and their two sons. She kills the third.;
Un pulcino nella stoppa| An American who has lived much of his life outside the country returns to Arizona for the first time in years and encounters villainy.;
Nomads of the North| A Canadian Mountie allows an innocent fugitive to escape with the women he loves.;
Pollyanna| An orphans optimistic outlook brings a change to the illtempered town in which she resides to her aunt.;
La vedova del pastore| A young man is elected by a small village to be its parson. As part of his duties, he is required to marry the widow of the parson before him. This poses two problemsfirst, the widow is ...;
The Restless Sex| A young woman is torn between two men, her childhood sweetheart and a handsome art student.;
Romeo e giulietta sulla neve| Comical variation on the Shakespeare play, featuring two feuding farmers families.;
The RoundUp| An overweight sheriff does his best to assist a man accused of theft.;
The Saphead| The simpleminded son of a rich financier must find his own way in the world.;
Sex| A broadway actress uses her sex appeal to ruin a marriage only to dump her lover for a richer prospect.;
Something to Think About| Wealthy cripple Markley finances the education of blacksmiths daughter Ruth. When she returns to their small town he asks to marry her, but she runs off with city worker Jim Dirk who is ...;
Die Spinnen, 2. Teil  Das Brillantenschiff| Kay Hoog wants to stop the organisation Die Spinnen to get a certain diamond, that will give the owning woman the crown of Asia, but the man, who should be the owner of that diamond, ...;
Suds| A London laundress attempts to rise above her station in order to capture the love of a wealthy young man, thus missing out on the truer love of one of her own class.;
